Indicators,BNC,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,Indicators_en,SCOTIA,BICH,PROMOBK,SOCABK,SOCABL,BHD ,BHD *
prets,590233.00398,5964.34397,422128.05991999997,469884,975012.43252,839566.0937000001,106928.60608,9326,3419042.54017,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-12-01,Loans,,,,,,,
interets sur bons b.r.h.,24419,0,0,1417,145529.50549999997,0,0,0,171365.50549999997,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-12-01,Interest on central bank bills,,,,,,,
autres,538349,41971.35272,30906.28536,11992,83400.80274,225355.61137000003,10947.51756,329,943251.5697499999,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-12-01,Other,,,,,,,
depenses d'interet,128371,10104.340619999999,123859.60638000001,100359,188834.94015,192016.9898,39285.05425,695,783525.9312000001,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2021-12-01,Interest expenses,,,,,,,
commissions,189598,3273.6308,100420.25478,234086,446196.5897,395638.6395900001,4873.622629999998,18353,1392439.7375000003,Autres revenus,Autres revenus,Other income,Other income,2021-12-01,Commission banking fees,,,,,,,
gains sur change,70049,-338.19317,110398.42405999989,173268,181652.97268,433545.59673,3147.7153200000002,48811,1020534.5156199998,Autres revenus,Autres revenus,Other income,Other income,2021-12-01,Foreign exchange gains,,,,,,,
autres,288365,371.40884,49457.89650999999,93180,107624.38160000002,363119.4917,6282.28881,11463,919863.4674600001,Autres revenus,Autres revenus,Other income,Other income,2021-12-01,Other,,,,,,,
produit net bancaire,1572642.00398,41138.202540000006,589451.3142499998,883468,1750581.7445899998,2065208.4432900003,92894.69615,87587,7082971.4048,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2021-12-01,Net banking income,,,,,,,
dotation a la provision pour creances douteuses,270000,9000,128533.94244999999,21624,311635.48749,11980.207999999999,-17835.72902,0,734937.90892,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2021-12-01,Allowance for bad debts,,,,,,,
et impots sur le revenu,1302642.00398,32138.202540000006,460917.37179999985,861844,1438946.2570999998,2053228.2352900002,110730.42517,87587,6348033.495879999,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2021-12-01,Earnings before operating expenses and income tax,,,,,,,
salaires et avantages sociaux,559167,29390.706040000005,177431.53713,184811,462019.13408,682016.49696,29432.390459999995,31077,2155345.26467,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-12-01,Salaries and benefits,,,,,,,
frais de locaux,26582,6064.74165,60601.48412000001,71384,57350.60637999998,79189.24203,13632.85044,3903,318707.92462,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-12-01,Premises expenses,,,,,,,
amortissement,39516,3095.60738,20015.33565,21445,88857.64888000001,126388.11855000001,4683.08713,5887,309887.79759000003,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-12-01,Amortization,,,,,,,
autres depenses d'exploitation,248139,14512.79448,169975.38253,212613,374295.89813999995,518361.31687,22287.78549,39846.1043529,1600031.2818629,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-12-01,Other operating expenses,,,,,,,
benefice avant impots sur le revenu,429238.00398000004,-20925.647009999993,32893.63236999983,371591,456422.9696199999,647273.0608800002,40694.31165,6873.895647099998,1964061.227137099,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2021-12-01,Profit before income tax,,,,,,,
impots sur le revenu,0,0,9868.0897109996,55833,120000,41677.85208,10987.463983499994,2136,240502.4057744996,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2021-12-01,Income taxes,,,,,,,
benefice net (perte nette),429238.00398000004,-20925.647009999993,23025.54265900023,315758,336422.9696199999,605595.2088000003,29706.84766650001,4737.895647099998,1723558.8213625995,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2021-12-01,Net profit (loss),,,,,,,
prets,392509,16709.44593,385126.02107,390118,828947.29519,878529.25035,102608.66665,13680,3008227.67919,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2018-12-01,Loans,,,,,,,
interets sur bons b.r.h.,296394,21672.39561,13490.796699999999,5453,29392.38823,10392.57213,0,0,376795.15267,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2018-12-01,Interest on central bank bills,,,,,,,
autres,212638,5017.82504,5420.992966892,16389,95290.8431,99965.94513,5873.03893,9024,449619.645166892,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2018-12-01,Other,,,,,,,
depenses d'interet,148449,15884.48644,99920.88153000001,91461,189771.68027,186470.29941000004,53693.5938,508,786158.9414500002,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2018-12-01,Interest expenses,,,,,,,
commissions,158208,5244.3247200000005,48200.086160000006,174104,307219.07948,362006.65398999996,4940.61712,72586,1132508.76147,Autres revenus,Autres revenus,Other income,Other income,2018-12-01,Commission banking fees,,,,,,,
gains sur change,64187,11624.646270000001,39354.01673,57869,135332.84040000002,202956.77305999998,4988.55432,46166,562478.83078,Autres revenus,Autres revenus,Other income,Other income,2018-12-01,Foreign exchange gains,,,,,,,
autres,38311,1647.4117,36006.365820000006,47121,114177.7948664,600103.86144,2011.01591,3,839381.4497363999,Autres revenus,Autres revenus,Other income,Other income,2018-12-01,Other,,,,,,,
produit net bancaire,1013798,46031.56283000001,427677.3979168921,599593,1320588.5609964002,1967484.75669,66728.29913,140951,5582852.577563291,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2018-12-01,Net banking income,,,,,,,
dotation a la provision pour creances douteuses,0,4376.08378,17220.545100000003,14231,118748.43185,17931,-12715.12118,0,159791.93955,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2018-12-01,Allowance for bad debts,,,,,,,
